UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS (2020),SHARE FROM EQ (2020),MEDIAN HOUSEHOLD INCOME (RM) (2019),ABSOLUTE POVERTY (%) (2019),NEW SEAT (2019),URBAN-RURAL CLASSIFICATION (2020),ETHNIC MAJORITY (2020)
P.170_N.12,SABAH,P.170,TUARAN,N.12,SULAMAN,"11,711",76,"4,719",15.8,,SEMI URBAN,MUSLIM BUMIPUTERA
P.170_N.13,SABAH,P.170,TUARAN,N.13,PANTAI DALIT,"15,091",98,"4,136",11.6,YES,SEMI URBAN,MUSLIM BUMIPUTERA
P.170_N.14,SABAH,P.170,TUARAN,N.14,TAMPARULI,"16,597",108,"3,736",19.8,,RURAL,NON MUSLIM BUMIPUTERA
P.170_N.15,SABAH,P.170,TUARAN,N.15,KIULU,"10,887",71,"2,690",19.5,,RURAL,NON MUSLIM BUMIPUTERA
P.171_N.16,SABAH,P.171,SEPANGGAR,N.16,KARAMBUNAI,"19,560",127,"5,346",10.0,,URBAN,MUSLIM BUMIPUTERA
P.171_N.17,SABAH,P.171,SEPANGGAR,N.17,DARAU,"18,350",119,"5,809",10.5,YES,URBAN,MUSLIM BUMIPUTERA
P.171_N.18,SABAH,P.171,SEPANGGAR,N.18,INANAM,"26,035",169,"5,408",9.2,,URBAN,NON MUSLIM BUMIPUTERA
P.172_N.19,SABAH,P.172,KOTA KINABALU,N.19,LIKAS,"14,934",97,"7,600",0.8,,URBAN,MIXED
P.172_N.20,SABAH,P.172,KOTA KINABALU,N.20,API-API,"19,149",124,"5,925",1.4,,URBAN,MIXED
P.172_N.21,SABAH,P.172,KOTA KINABALU,N.21,LUYANG,"25,775",167,"7,440",2.1,,URBAN,CHINESE
P.173_N.22,SABAH,P.173,PUTATAN,N.22,TANJUNG ARU,"14,941",97,"5,571",17.7,,URBAN,MUSLIM BUMIPUTERA
P.173_N.23,SABAH,P.173,PUTATAN,N.23,PETAGAS,"13,763",89,"4,007",15.5,,URBAN,MUSLIM BUMIPUTERA
P.173_N.24,SABAH,P.173,PUTATAN,N.24,TANJUNG KERAMAT,"14,350",93,"6,244",6.5,YES,URBAN,MUSLIM BUMIPUTERA
P.174_N.25,SABAH,P.174,PENAMPANG,N.25,KAPAYAN,"30,034",195,"5,669",3.2,,URBAN,MIXED
P.174_N.26,SABAH,P.174,PENAMPANG,N.26,MOYOG,"19,465",126,"5,336",6.5,,URBAN,NON MUSLIM BUMIPUTERA
P.175_N.27,SABAH,P.175,PAPAR,N.27,LIMBAHAU,"12,739",83,"4,686",10.6,YES,SEMI URBAN,NON MUSLIM BUMIPUTERA
P.175_N.28,SABAH,P.175,PAPAR,N.28,KAWANG,"14,932",97,"4,665",12.0,,SEMI URBAN,MUSLIM BUMIPUTERA
P.175_N.29,SABAH,P.175,PAPAR,N.29,PANTAI MANIS,"14,322",93,"4,634",13.8,,SEMI URBAN,MUSLIM BUMIPUTERA
P.176_N.30,SABAH,P.176,KIMANIS,N.30,BONGAWAN,"16,735",109,"3,743",16.3,,RURAL,MUSLIM BUMIPUTERA
P.176_N.31,SABAH,P.176,KIMANIS,N.31,MEMBAKUT,"13,617",88,"4,280",21.8,,RURAL,MUSLIM BUMIPUTERA
P.177_N.32,SABAH,P.177,BEAUFORT,N.32,KLIAS,"16,905",110,"3,334",26.7,,SEMI URBAN,MUSLIM BUMIPUTERA
P.177_N.33,SABAH,P.177,BEAUFORT,N.33,KUALA PENYU,"16,396",106,"2,949",29.7,,RURAL,MUSLIM BUMIPUTERA
P.178_N.34,SABAH,P.178,SIPITANG,N.34,LUMADAN,"15,044",98,"3,959",10.1,,RURAL,MUSLIM BUMIPUTERA
P.178_N.35,SABAH,P.178,SIPITANG,N.35,SINDUMIN,"16,762",109,"3,944",10.5,,SEMI URBAN,MUSLIM BUMIPUTERA
P.179_N.36,SABAH,P.179,RANAU,N.36,KUNDASANG,"14,986",97,"2,943",29.8,,RURAL,NON MUSLIM BUMIPUTERA
P.179_N.37,SABAH,P.179,RANAU,N.37,KARANAAN,"13,425",87,"4,484",14.6,,RURAL,MUSLIM BUMIPUTERA
P.179_N.38,SABAH,P.179,RANAU,N.38,PAGINATAN,"15,410",100,"3,027",33.6,,RURAL,NON MUSLIM BUMIPUTERA
P.180_N.39,SABAH,P.180,KENINGAU,N.39,TAMBUNAN,"16,511",107,"3,581",16.7,,RURAL,NON MUSLIM BUMIPUTERA
P.180_N.40,SABAH,P.180,KENINGAU,N.40,BINGKOR,"17,828",116,"4,529",15.7,,RURAL,NON MUSLIM BUMIPUTERA
P.180_N.41,SABAH,P.180,KENINGAU,N.41,LIAWAN,"17,446",113,"4,184",12.7,,SEMI URBAN,MIXED
P.181_N.42,SABAH,P.181,TENOM,N.42,MELALAP,"13,993",91,"4,285",9.2,,RURAL,NON MUSLIM BUMIPUTERA
P.181_N.43,SABAH,P.181,TENOM,N.43,KEMABONG,"15,086",98,"3,029",28.6,,RURAL,NON MUSLIM BUMIPUTERA
P.182_N.44,SABAH,P.182,PENSIANGAN,N.44,TULID,"8,910",58,"3,636",28.4,YES,RURAL,NON MUSLIM BUMIPUTERA
P.182_N.45,SABAH,P.182,PENSIANGAN,N.45,SOOK,"10,397",67,"3,732",25.0,,SEMI URBAN,NON MUSLIM BUMIPUTERA
P.182_N.46,SABAH,P.182,PENSIANGAN,N.46,NABAWAN,"12,475",81,"3,692",36.6,,RURAL,NON MUSLIM BUMIPUTERA
P.183_N.47,SABAH,P.183,BELURAN,N.47,TELUPID,"7,862",51,"3,158",39.8,YES,RURAL,NON MUSLIM BUMIPUTERA
P.183_N.48,SABAH,P.183,BELURAN,N.48,SUGUT,"11,712",76,"2,538",49.2,,RURAL,MUSLIM BUMIPUTERA
P.183_N.49,SABAH,P.183,BELURAN,N.49,LABUK,"8,952",58,"3,064",41.7,,RURAL,MUSLIM BUMIPUTERA
P.184_N.50,SABAH,P.184,LIBARAN,N.50,GUM-GUM,"12,474",81,"3,753",25.7,,RURAL,MUSLIM BUMIPUTERA
P.184_N.51,SABAH,P.184,LIBARAN,N.51,SUNGAI MANILA,"12,761",83,"4,250",26.0,YES,RURAL,MUSLIM BUMIPUTERA
P.184_N.52,SABAH,P.184,LIBARAN,N.52,SUNGAI SIBUGA,"23,308",151,"5,101",16.1,,SEMI URBAN,MUSLIM BUMIPUTERA
P.185_N.53,SABAH,P.185,BATU SAPI,N.53,SEKONG,"17,054",111,"5,805",7.6,,URBAN,MUSLIM BUMIPUTERA
P.185_N.54,SABAH,P.185,BATU SAPI,N.54,KARAMUNTING,"15,896",103,"3,831",22.6,,URBAN,MUSLIM BUMIPUTERA
P.186_N.55,SABAH,P.186,SANDAKAN,N.55,ELOPURA,"25,794",167,"5,661",14.2,,URBAN,MIXED
P.186_N.56,SABAH,P.186,SANDAKAN,N.56,TANJONG PAPAT,"14,287",93,"3,019",32.3,,URBAN,MIXED
P.187_N.57,SABAH,P.187,KINABATANGAN,N.57,KUAMUT,"9,854",64,"2,197",56.6,,RURAL,NON MUSLIM BUMIPUTERA
P.187_N.58,SABAH,P.187,KINABATANGAN,N.58,LAMAG,"8,159",53,"3,535",41.2,YES,RURAL,MUSLIM BUMIPUTERA
P.187_N.59,SABAH,P.187,KINABATANGAN,N.59,SUKAU,"10,810",70,"4,127",24.8,,RURAL,MUSLIM BUMIPUTERA
P.188_N.60,SABAH,P.188,LAHAD DATU,N.60,TUNGKU,"13,255",86,"4,116",18.5,,RURAL,MUSLIM BUMIPUTERA
P.188_N.61,SABAH,P.188,LAHAD DATU,N.61,SEGAMA,"16,575",108,"4,830",17.3,YES,URBAN,MUSLIM BUMIPUTERA
P.188_N.62,SABAH,P.188,LAHAD DATU,N.62,SILAM,"17,395",113,"3,257",25.0,,URBAN,MUSLIM BUMIPUTERA
P.188_N.63,SABAH,P.188,LAHAD DATU,N.63,KUNAK,"14,641",95,"3,830",23.8,,RURAL,MUSLIM BUMIPUTERA
P.189_N.64,SABAH,P.189,SEMPORNA,N.64,SULABAYAN,"14,012",91,"2,101",69.8,,RURAL,MUSLIM BUMIPUTERA
P.189_N.65,SABAH,P.189,SEMPORNA,N.65,SENALLANG,"14,336",93,"3,679",20.9,,RURAL,MUSLIM BUMIPUTERA
P.189_N.66,SABAH,P.189,SEMPORNA,N.66,BUGAYA,"20,267",132,"4,106",31.6,,URBAN,MUSLIM BUMIPUTERA
P.190_N.67,SABAH,P.190,TAWAU,N.67,BALUNG,"14,600",95,"4,640",15.0,,RURAL,MUSLIM BUMIPUTERA
P.190_N.68,SABAH,P.190,TAWAU,N.68,APAS,"19,378",126,"3,209",30.0,,URBAN,MUSLIM BUMIPUTERA
P.190_N.69,SABAH,P.190,TAWAU,N.69,SRI TANJONG,"26,493",172,"5,518",4.3,,URBAN,MIXED
P.191_N.70,SABAH,P.191,KALABAKAN,N.70,KUKUSAN,"12,640",82,"7,596",10.5,YES,URBAN,MUSLIM BUMIPUTERA
P.191_N.71,SABAH,P.191,KALABAKAN,N.71,TANJUNG BATU,"14,875",97,"4,225",18.8,,URBAN,MUSLIM BUMIPUTERA
P.191_N.72,SABAH,P.191,KALABAKAN,N.72,MEROTAI,"14,973",97,"4,262",9.0,,RURAL,MUSLIM BUMIPUTERA
P.191_N.73,SABAH,P.191,KALABAKAN,N.73,SEBATIK,"10,131",66,"3,310",26.6,,RURAL,MUSLIM BUMIPUTERA
