UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY (GE14),TOTAL ELECTORATE (GE14),ETHNIC CLASSIFICATION (2018),MEDIAN MONTHLY HOUSEHOLD GROSS INCOME (2019),MEAN MONTHLY HOUSEHOLD GROSS INCOME (2019),GINI COEFFICIENT (2019),ABSOLUTE POVERTY INCIDENCE (%) (2019)
P. 012,KEDAH,P. 012,JERAI,GS - PAS,79976,MALAY MAJORITY (60 % AND ABOVE),3313,4404,0.38,14.9
P. 013,KEDAH,P. 013,SIK,GS - PAS,50385,MALAY MAJORITY (60 % AND ABOVE),4096,4960,0.32,7.6
P. 014,KEDAH,P. 014,MERBOK,PH - PKR,87782,MALAY MAJORITY (60 % AND ABOVE),4350,5967,0.4,11.1
P. 015,KEDAH,P. 015,SUNGAI PETANI,PH - PKR,112577,MALAY MAJORITY (60 % AND ABOVE),4373,5745,0.36,9.2
P. 016,KEDAH,P. 016,BALING,BN - UMNO,107213,MALAY MAJORITY (60 % AND ABOVE),3583,4313,0.34,17.9
P. 017,KEDAH,P. 017,PADANG SERAI,PH - PKR,84834,MALAY MAJORITY (50 - 59.99%),4419,5293,0.32,9.5
P. 018,KEDAH,P. 018,KULIM-BANDAR BAHARU,PH - PKR,66587,MALAY MAJORITY (60 % AND ABOVE),4558,5671,0.35,9.8
P. 019,KELANTAN,P. 019,TUMPAT,GS - PAS,110924,MALAY MAJORITY (60 % AND ABOVE),3500,4838,0.374,12.5
P. 020,KELANTAN,P. 020,PENGKALAN CHEPA,GS - PAS,75384,MALAY MAJORITY (60 % AND ABOVE),4182,5353,0.347,8.6
P. 021,KELANTAN,P. 021,KOTA BHARU,GS - PAS,88708,MALAY MAJORITY (60 % AND ABOVE),4122,5201,0.346,7.4
P. 022,KELANTAN,P. 022,PASIR MAS,GS - PAS,71222,MALAY MAJORITY (60 % AND ABOVE),3951,5617,0.401,10
P. 023,KELANTAN,P. 023,RANTAU PANJANG,GS - PAS,66115,MALAY MAJORITY (60 % AND ABOVE),3001,3864,0.324,16.2
P. 024,KELANTAN,P. 024,KUBANG KERIAN,GS - PAS,82018,MALAY MAJORITY (60 % AND ABOVE),4415,6219,0.429,10.1
P. 025,KELANTAN,P. 025,BACHOK,GS - PAS,92606,MALAY MAJORITY (60 % AND ABOVE),3621,4728,0.361,13.1
P. 026,KELANTAN,P. 026,KETEREH,BN - UMNO,65238,MALAY MAJORITY (60 % AND ABOVE),4028,5618,0.396,11.2
P. 027,KELANTAN,P. 027,TANAH MERAH,BN - UMNO,73172,MALAY MAJORITY (60 % AND ABOVE),3311,4487,0.339,10.6
P. 028,KELANTAN,P. 028,PASIR PUTEH,GS - PAS,85411,MALAY MAJORITY (60 % AND ABOVE),3458,4688,0.386,12.7
P. 029,KELANTAN,P. 029,MACHANG,BN - UMNO,68387,MALAY MAJORITY (60 % AND ABOVE),3708,4841,0.352,7.1
P. 030,KELANTAN,P. 030,JELI,BN - UMNO,47470,MALAY MAJORITY (60 % AND ABOVE),2786,3750,0.342,18.9
P. 031,KELANTAN,P. 031,KUALA KRAI,GS - PAS,70348,MALAY MAJORITY (60 % AND ABOVE),2896,3979,0.382,22.4
P. 032,KELANTAN,P. 032,GUA MUSANG,BN - UMNO,52524,MALAY MAJORITY (60 % AND ABOVE),2946,3918,0.36,18.7
P. 033,TERENGGANU,P. 033,BESUT,BN - UMNO,86627,MALAY MAJORITY (60 % AND ABOVE),4609,6033,0.339,9.5
P. 034,TERENGGANU,P. 034,SETIU,GS - PAS,86247,MALAY MAJORITY (60 % AND ABOVE),4313,5591,0.339,9.3
P. 035,TERENGGANU,P. 035,KUALA NERUS,GS - PAS,83663,MALAY MAJORITY (60 % AND ABOVE),6725,7716,0.298,3.8
P. 036,TERENGGANU,P. 036,KUALA TERENGGANU,GS - PAS,103611,MALAY MAJORITY (60 % AND ABOVE),5681,6689,0.283,3.3
P. 037,TERENGGANU,P. 037,MARANG,GS - PAS,104898,MALAY MAJORITY (60 % AND ABOVE),5227,6299,0.318,7.5
P. 038,TERENGGANU,P. 038,HULU TERENGGANU,BN - UMNO,73487,MALAY MAJORITY (60 % AND ABOVE),4515,5577,0.337,7.8
P. 039,TERENGGANU,P. 039,DUNGUN,GS - PAS,90506,MALAY MAJORITY (60 % AND ABOVE),6037,7553,0.342,5.2
P. 040,TERENGGANU,P. 040,KEMAMAN,GS - PAS,107593,MALAY MAJORITY (60 % AND ABOVE),6592,7854,0.346,4.6
P. 041,PULAU PINANG,P. 041,KEPALA BATAS,BN - UMNO,60523,MALAY MAJORITY (60 % AND ABOVE),5644,6739,0.34,5
P. 042,PULAU PINANG,P. 042,TASEK GELUGOR,BN - UMNO,60850,MALAY MAJORITY (60 % AND ABOVE),5566,6429,0.34,4.1
P. 043,PULAU PINANG,P. 043,BAGAN,PH - DAP,71583,CHINESE MAJORITY (60% AND ABOVE),5647,7579,0.38,3.4
P. 044,PULAU PINANG,P. 044,PERMATANG PAUH,PH - PKR,81789,MALAY MAJORITY (60 % AND ABOVE),5183,6435,0.37,6.1
P. 045,PULAU PINANG,P. 045,BUKIT MERTAJAM,PH - DAP,88998,CHINESE MAJORITY (60% AND ABOVE),6171,7901,0.37,1.3
P. 046,PULAU PINANG,P. 046,BATU KAWAN,PH - DAP,65394,CHINESE MAJORITY (50 - 59.99%),6069,7644,0.35,0.6
P. 047,PULAU PINANG,P. 047,NIBONG TEBAL,PH - PKR,73383,MIXED,5526,6591,0.32,2.5
P. 048,PULAU PINANG,P. 048,BUKIT BENDERA,PH - DAP,75069,CHINESE MAJORITY (60% AND ABOVE),7322,9862,0.41,0
P. 049,PULAU PINANG,P. 049,TANJONG,PH - DAP,49586,CHINESE MAJORITY (60% AND ABOVE),6135,7807,0.35,1.5
P. 050,PULAU PINANG,P. 050,JELUTONG,PH - DAP,76991,CHINESE MAJORITY (60% AND ABOVE),7174,7555,0.28,1.3
P. 051,PULAU PINANG,P. 051,BUKIT GELUGOR,PH - DAP,91595,CHINESE MAJORITY (60% AND ABOVE),6220,8013,0.35,0.2
P. 052,PULAU PINANG,P. 052,BAYAN BARU,PH - PKR,90780,MIXED,6981,9040,0.36,0.8
P. 053,PULAU PINANG,P. 053,BALIK PULAU,PH - PKR,59086,MALAY MAJORITY (60 % AND ABOVE),6485,7975,0.33,0.7
P. 054,PERAK,P. 054,GERIK,BN - UMNO,35903,MALAY MAJORITY (60 % AND ABOVE),4110,5138,0.349,8.9
P. 055,PERAK,P. 055,LENGGONG,BN - UMNO,29752,MALAY MAJORITY (60 % AND ABOVE),3004,3885,0.34,17.5
P. 056,PERAK,P. 056,LARUT,BN - UMNO,49453,MALAY MAJORITY (60 % AND ABOVE),4115,5173,0.33,7.4
P. 057,PERAK,P. 057,PARIT BUNTAR,PH - AMANAH,51860,MALAY MAJORITY (60 % AND ABOVE),4501,5610,0.308,8
P. 058,PERAK,P. 058,BAGAN SERAI,BN - UMNO,59293,MALAY MAJORITY (60 % AND ABOVE),4543,5507,0.305,4.3
P. 059,PERAK,P. 059,BUKIT GANTANG,BN - UMNO,69873,MALAY MAJORITY (60 % AND ABOVE),3798,4607,0.31,12.9
P. 060,PERAK,P. 060,TAIPING,PH - DAP,90729,MIXED,4751,5916,0.32,4.9
P. 061,PERAK,P. 061,PADANG RENGAS,BN - UMNO,30996,MALAY MAJORITY (60 % AND ABOVE),4314,6975,0.46,5.9
P. 062,PERAK,P. 062,SUNGAI SIPUT,PH - PKR,55002,MIXED,3376,4399,0.337,16.7
P. 063,PERAK,P. 063,TAMBUN,PH - PPBM,107763,MALAY MAJORITY (60 % AND ABOVE),4964,6170,0.345,5.6
P. 064,PERAK,P. 064,IPOH TIMOR,PH - DAP,91486,CHINESE MAJORITY (60% AND ABOVE),4418,6177,0.415,1.9
P. 065,PERAK,P. 065,IPOH BARAT,PH - DAP,84874,CHINESE MAJORITY (60% AND ABOVE),4597,7860,0.539,5.6
P. 066,PERAK,P. 066,BATU GAJAH,PH - DAP,81399,CHINESE MAJORITY (60% AND ABOVE),3870,4671,0.318,7.3
P. 067,PERAK,P. 067,KUALA KANGSAR,BN - UMNO,36954,MALAY MAJORITY (60 % AND ABOVE),3901,4819,0.342,7.3
P. 068,PERAK,P. 068,BERUAS,PH - DAP,79794,CHINESE MAJORITY (50 - 59.99%),3973,5592,0.411,8.9
P. 069,PERAK,P. 069,PARIT,BN - UMNO,35910,MALAY MAJORITY (60 % AND ABOVE),4629,6129,0.364,6.2
P. 070,PERAK,P. 070,KAMPAR,PH - DAP,69436,CHINESE MAJORITY (50 - 59.99%),3653,4777,0.362,7.6
P. 071,PERAK,P. 071,GOPENG,PH - PKR,99167,MIXED,4542,5851,0.363,4.4
P. 072,PERAK,P. 072,TAPAH,BN - MIC,47128,MIXED,3885,5468,0.389,9
P. 073,PERAK,P. 073,PASIR SALAK,BN - UMNO,54671,MALAY MAJORITY (60 % AND ABOVE),3186,3780,0.307,18.9
P. 074,PERAK,P. 074,LUMUT,PH - AMANAH,67157,MALAY MAJORITY (60 % AND ABOVE),5643,6728,0.343,4.7
P. 075,PERAK,P. 075,BAGAN DATUK,BN - UMNO,47309,MALAY MAJORITY (50 - 59.99%),4448,5660,0.371,6.3
P. 076,PERAK,P. 076,TELUK INTAN,PH - DAP,66487,MIXED,3641,5059,0.378,10.3
P. 077,PERAK,P. 077,TANJONG MALIM,PH - PKR,68468,MALAY MAJORITY (50 - 59.99%),4056,5686,0.399,8.3
P. 078,PAHANG,P. 078,CAMERON HIGHLANDS,BN - MIC,32048,MIXED,5280,6329,0.276,1.7
P. 079,PAHANG,P. 079,LIPIS,BN - UMNO,35294,MALAY MAJORITY (60 % AND ABOVE),3628,4467,0.296,5.6
P. 080,PAHANG,P. 080,RAUB,PH - DAP,57723,MALAY MAJORITY (50 - 59.99%),3811,4992,0.307,4.4
P. 081,PAHANG,P. 081,JERANTUT,BN - UMNO,63609,MALAY MAJORITY (60 % AND ABOVE),3708,4436,0.293,9.6
P. 082,PAHANG,P. 082,INDERA MAHKOTA,PH - PKR,77208,MALAY MAJORITY (60 % AND ABOVE),6051,7693,0.339,2
P. 083,PAHANG,P. 083,KUANTAN,PH - PKR,62696,MALAY MAJORITY (60 % AND ABOVE),5771,6882,0.322,1.1
P. 084,PAHANG,P. 084,PAYA BESAR,BN - UMNO,55135,MALAY MAJORITY (60 % AND ABOVE),4896,6077,0.307,1.2
P. 085,PAHANG,P. 085,PEKAN,BN - UMNO,88899,MALAY MAJORITY (60 % AND ABOVE),4389,5377,0.315,6.5
P. 086,PAHANG,P. 086,MARAN,BN - UMNO,41036,MALAY MAJORITY (60 % AND ABOVE),3582,4390,0.303,8.6
P. 087,PAHANG,P. 087,KUALA KRAU,BN - UMNO,47264,MALAY MAJORITY (60 % AND ABOVE),3832,4899,0.301,4.9
P. 088,PAHANG,P. 088,TEMERLOH,PH - AMANAH,75081,MALAY MAJORITY (60 % AND ABOVE),4263,5318,0.323,6.1
P. 089,PAHANG,P. 089,BENTONG,PH - DAP,67359,MIXED,4224,5288,0.284,3.4
P. 090,PAHANG,P. 090,BERA,BN - UMNO,58711,MALAY MAJORITY (60 % AND ABOVE),3669,4588,0.289,2.8
P. 091,PAHANG,P. 091,ROMPIN,BN - UMNO,61918,MALAY MAJORITY (60 % AND ABOVE),3579,4641,0.295,6.7
P. 092,SELANGOR,P. 092,SABAK BERNAM,BN - UMNO,40863,MALAY MAJORITY (60 % AND ABOVE),3372,4452,0.33,7.7
P. 093,SELANGOR,P. 093,SUNGAI BESAR,PH - PPBM,48739,MALAY MAJORITY (60 % AND ABOVE),5127,7069,0.397,2.7
P. 094,SELANGOR,P. 094,HULU SELANGOR,PH - PKR,100990,MALAY MAJORITY (60 % AND ABOVE),6249,7598,0.339,1.5
P. 095,SELANGOR,P. 095,TANJONG KARANG,BN - UMNO,47198,MALAY MAJORITY (60 % AND ABOVE),4475,5812,0.392,7.2
P. 096,SELANGOR,P. 096,KUALA SELANGOR,PH - AMANAH,69397,MALAY MAJORITY (60 % AND ABOVE),5808,7239,0.366,3.1
P. 097,SELANGOR,P. 097,SELAYANG,PH - PKR,116176,MALAY MAJORITY (50 - 59.99%),7786,9557,0.354,0.6
P. 098,SELANGOR,P. 098,GOMBAK,PH - PKR,141112,MALAY MAJORITY (60 % AND ABOVE),8416,11565,0.395,0.3
P. 099,SELANGOR,P. 099,AMPANG,PH - PKR,91737,MALAY MAJORITY (50 - 59.99%),9243,13591,0.454,1.1
P. 100,SELANGOR,P. 100,PANDAN,PH - PKR,101319,MIXED,8282,9495,0.284,0.3
P. 101,SELANGOR,P. 101,HULU LANGAT,PH - AMANAH,102363,MALAY MAJORITY (60 % AND ABOVE),9044,10317,0.312,0.9
P. 102,SELANGOR,P. 102,BANGI,PH - DAP,178790,MIXED,8335,10265,0.339,0.4
P. 103,SELANGOR,P. 103,PUCHONG,PH - DAP,96437,CHINESE MAJORITY (50 - 59.99%),7545,10187,0.403,2.1
P. 104,SELANGOR,P. 104,SUBANG,PH - PKR,146422,CHINESE MAJORITY (50 - 59.99%),9944,12747,0.374,0.3
P. 105,SELANGOR,P. 105,PETALING JAYA,PH - PKR,140920,MIXED,8942,12464,0.441,1.1
P. 106,SELANGOR,P. 106,DAMANSARA,PH - DAP,164322,CHINESE MAJORITY (60% AND ABOVE),9485,12414,0.399,0.6
P. 107,SELANGOR,P. 107,SUNGAI BULOH,PH - PKR,90707,MALAY MAJORITY (60 % AND ABOVE),7208,11489,0.46,1.6
P. 108,SELANGOR,P. 108,SHAH ALAM,PH - AMANAH,107316,MALAY MAJORITY (60 % AND ABOVE),10453,13567,0.395,0.3
P. 109,SELANGOR,P. 109,KAPAR,PH - PKR,124983,MALAY MAJORITY (60 % AND ABOVE),6536,7953,0.353,2.8
P. 110,SELANGOR,P. 110,KLANG,PH - DAP,149348,CHINESE MAJORITY (50 - 59.99%),8251,10369,0.375,1.4
P. 111,SELANGOR,P. 111,KOTA RAJA,PH - AMANAH,149021,MIXED,8584,11015,0.383,1.7
P. 112,SELANGOR,P. 112,KUALA LANGAT,PH - PKR,102406,MALAY MAJORITY (50 - 59.99%),7096,8717,0.339,2.6
P. 113,SELANGOR,P. 113,SEPANG,PH - AMANAH,104508,MALAY MAJORITY (60 % AND ABOVE),8398,11724,0.4,0.7
P. 114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 114,KEPONG,PH - DAP,72696,CHINESE MAJORITY (60% AND ABOVE),11274,13087,0.303,0
P. 115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 115,BATU,INDEPENDENT - KEY,76328,MIXED,9426,11019,0.305,0.3
P. 116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 116,WANGSA MAJU,PH - PKR,88482,MALAY MAJORITY (50 - 59.99%),9716,11153,0.289,0
P. 117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 117,SEGAMBUT,PH - DAP,77956,CHINESE MAJORITY (50 - 59.99%),15342,20521,0.396,0
P. 118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 118,SETIAWANGSA,PH - PKR,72136,MALAY MAJORITY (60 % AND ABOVE),9651,12281,0.33,0.3
P. 119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 119,TITIWANGSA,PH - PPBM,61598,MALAY MAJORITY (60 % AND ABOVE),9827,11921,0.335,0.5
P. 120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 120,BUKIT BINTANG,PH - DAP,69526,CHINESE MAJORITY (60% AND ABOVE),11060,13677,0.363,0
P. 121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 121,LEMBAH PANTAI,PH - PKR,80346,MALAY MAJORITY (60 % AND ABOVE),9801,13081,0.376,0
P. 122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 122,SEPUTEH,PH - DAP,86256,CHINESE MAJORITY (60% AND ABOVE),11113,13489,0.329,0.5
P. 123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 123,CHERAS,PH - DAP,78819,CHINESE MAJORITY (60% AND ABOVE),10264,12031,0.319,0.2
P. 124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 124,BANDAR TUN RAZAK,PH - PKR,83650,MALAY MAJORITY (60 % AND ABOVE),9432,11266,0.305,0
P. 125,WILAYAH PERSEKUTUAN PUTRAJAYA,P. 125,PUTRAJAYA,BN - UMNO,27306,MALAY MAJORITY (60 % AND ABOVE),9983,12840,0.361,0.4
P. 126,NEGERI SEMBILAN,P. 126,JELEBU,BN - UMNO,48522,MALAY MAJORITY (60 % AND ABOVE),4031,5341,0.363,6.2
P. 127,NEGERI SEMBILAN,P. 127,JEMPOL,BN - UMNO,72122,MALAY MAJORITY (60 % AND ABOVE),3551,4907,0.35,5.8
P. 128,NEGERI SEMBILAN,P. 128,SEREMBAN,PH - DAP,110168,MIXED,5533,7601,0.393,4.5
P. 129,NEGERI SEMBILAN,P. 129,KUALA PILAH,PH - PPBM,49801,MALAY MAJORITY (60 % AND ABOVE),3587,5040,0.366,8.3
P. 130,NEGERI SEMBILAN,P. 130,RASAH,PH - DAP,102838,MIXED,5759,8173,0.398,1.8
P. 131,NEGERI SEMBILAN,P. 131,REMBAU,BN - UMNO,88365,MALAY MAJORITY (60 % AND ABOVE),5085,6297,0.351,4.2
P. 132,NEGERI SEMBILAN,P. 132,PORT DICKSON,PH - PKR,75212,MIXED,4959,6393,0.378,4.3
P. 133,NEGERI SEMBILAN,P. 133,TAMPIN,PH - AMANAH,60765,MALAY MAJORITY (60 % AND ABOVE),4325,5762,0.386,4.8
P. 134,MELAKA,P. 134,MASJID TANAH,BN - UMNO,51441,MALAY MAJORITY (60 % AND ABOVE),5060,6770,0.375,5.2
P. 135,MELAKA,P. 135,ALOR GAJAH,PH - PPBM,70364,MALAY MAJORITY (60 % AND ABOVE),5989,7188,0.341,2.9
P. 136,MELAKA,P. 136,TANGGA BATU,PH - PKR,83213,MALAY MAJORITY (60 % AND ABOVE),6101,7855,0.374,5.9
P. 137,MELAKA,P. 137,HANG TUAH JAYA,PH - PKR,89364,MALAY MAJORITY (60 % AND ABOVE),6520,8837,0.408,4.3
P. 138,MELAKA,P. 138,KOTA MELAKA,PH - DAP,126848,CHINESE MAJORITY (50 - 59.99%),6100,7703,0.381,2.9
P. 139,MELAKA,P. 139,JASIN,BN - UMNO,73432,MALAY MAJORITY (60 % AND ABOVE),5682,7428,0.386,2.7
P. 140,JOHOR,P. 140,SEGAMAT,PH - PKR,55350,MIXED,5645,6587,0.319,2.6
P. 141,JOHOR,P. 141,SEKIJANG,PH - PKR,45596,MALAY MAJORITY (50 - 59.99%),5440,6390,0.334,3.4
P. 142,JOHOR,P. 142,LABIS,PH - DAP,40356,MIXED,5636,6259,0.274,2.4
P. 143,JOHOR,P. 143,PAGOH,PH - PPBM,51512,MALAY MAJORITY (60 % AND ABOVE),4785,5774,0.31,6.9
P. 144,JOHOR,P. 144,LEDANG,PH - PKR,77474,MALAY MAJORITY (50 - 59.99%),5710,6757,0.323,3.2
P. 145,JOHOR,P. 145,BAKRI,PH - DAP,73883,CHINESE MAJORITY (50 - 59.99%),6164,8007,0.361,3.4
P. 146,JOHOR,P. 146,MUAR,PH - PPBM,50843,MALAY MAJORITY (60 % AND ABOVE),6361,7638,0.338,4.2
P. 147,JOHOR,P. 147,PARIT SULONG,BN - UMNO,59609,MALAY MAJORITY (60 % AND ABOVE),5738,6961,0.29,5.2
P. 148,JOHOR,P. 148,AYER HITAM,BN - MCA,46157,MALAY MAJORITY (50 - 59.99%),6094,6453,0.244,2.7
P. 149,JOHOR,P. 149,SRI GADING,PH - PPBM,52119,MALAY MAJORITY (60 % AND ABOVE),7088,8227,0.316,2.3
P. 150,JOHOR,P. 150,BATU PAHAT,PH - PKR,98543,MALAY MAJORITY (50 - 59.99%),6450,7265,0.286,2.5
P. 151,JOHOR,P. 151,SIMPANG RENGGAM,PH - PPBM,43998,MALAY MAJORITY (50 - 59.99%),4213,5237,0.354,9.9
P. 152,JOHOR,P. 152,KLUANG,PH - DAP,96915,MIXED,5257,6286,0.327,3.6
P. 153,JOHOR,P. 153,SEMBRONG,BN - UMNO,44137,MALAY MAJORITY (60 % AND ABOVE),4541,5279,0.306,5.4
P. 154,JOHOR,P. 154,MERSING,BN - UMNO,48176,MALAY MAJORITY (60 % AND ABOVE),3896,4937,0.377,12.1
P. 155,JOHOR,P. 155,TENGGARA,BN - UMNO,44749,MALAY MAJORITY (60 % AND ABOVE),5553,7411,0.359,5.1
P. 156,JOHOR,P. 156,KOTA TINGGI,BN - UMNO,46677,MALAY MAJORITY (60 % AND ABOVE),4480,5895,0.355,9.7
P. 157,JOHOR,P. 157,PENGERANG,BN - UMNO,40479,MALAY MAJORITY (60 % AND ABOVE),5609,7126,0.357,4.4
P. 158,JOHOR,P. 158,TEBRAU,PH - PKR,123033,MIXED,7142,8706,0.356,3.7
P. 159,JOHOR,P. 159,PASIR GUDANG,PH - PKR,124172,MIXED,6783,8652,0.382,4.9
P. 160,JOHOR,P. 160,JOHOR BAHRU,PH - PKR,101409,MALAY MAJORITY (50 - 59.99%),6625,9993,0.454,3.4
P. 161,JOHOR,P. 161,PULAI,PH - AMANAH,106268,MIXED,8286,9559,0.334,1.1
P. 162,JOHOR,P. 162,ISKANDAR PUTERI,PH - DAP,138299,MIXED,7815,10110,0.392,2.4
P. 163,JOHOR,P. 163,KULAI,PH - DAP,99147,CHINESE MAJORITY (50 - 59.99%),6834,8185,0.331,4.2
P. 164,JOHOR,P. 164,PONTIAN,BN - UMNO,55570,MALAY MAJORITY (60 % AND ABOVE),5692,6636,0.335,4.9
P. 165,JOHOR,P. 165,TANJUNG PIAI,PH - PPBM,53528,MALAY MAJORITY (50 - 59.99%),5118,6904,0.369,6.6
P. 166,WILAYAH PERSEKUTUAN LABUAN,P. 166,LABUAN,BN - UMNO,28356,MIXED,6726,8319,0.333,3.1
P. 167,SABAH,P. 167,KUDAT,BN - UMNO,52251,BUMIPUTERA SABAH (60% AND ABOVE),2346,3797,0.439,47
P. 168,SABAH,P. 168,KOTA MARUDU,BN - PBS,47007,BUMIPUTERA SABAH (60% AND ABOVE),2424,3739,0.431,44.2
P. 169,SABAH,P. 169,KOTA BELUD,WARISAN,57919,BUMIPUTERA SABAH (60% AND ABOVE),3025,4377,0.412,34.1
P.  170,SABAH,P. 170,TUARAN,BN - UPKO,54400,BUMIPUTERA SABAH (60% AND ABOVE),3747,5089,0.383,16.3
P.  171,SABAH,P. 171,SEPANGGAR,WARISAN,62415,BUMIPUTERA SABAH (50 - 59.99%),5447,7076,0.386,9.8
P.  172,SABAH,P. 172,KOTA KINABALU,PH - DAP,56220,CHINESE MAJORITY (60% AND ABOVE),7220,8846,0.352,1.6
P.  173,SABAH,P. 173,PUTATAN,PH - PKR,41312,BUMIPUTERA SABAH (50 - 59.99%),5008,6819,0.379,11.7
P.  174,SABAH,P. 174,PENAMPANG,WARISAN,53131,BUMIPUTERA SABAH (50 - 59.99%),5535,6643,0.324,4.2
P.  175,SABAH,P. 175,PAPAR,WARISAN,43586,BUMIPUTERA SABAH (60% AND ABOVE),4665,5843,0.352,12.1
P.  176,SABAH,P. 176,KIMANIS,BN - UMNO,29618,BUMIPUTERA SABAH (60% AND ABOVE),4050,5359,0.391,18.4
P.  177,SABAH,P. 177,BEAUFORT,BN - UMNO,33342,BUMIPUTERA SABAH (60% AND ABOVE),3260,4444,0.368,28
P.  178,SABAH,P. 178,SIPITANG,BN - UMNO,31882,BUMIPUTERA SABAH (60% AND ABOVE),3944,5148,0.341,10.4
P.  179,SABAH,P. 179,RANAU,PH - PKR,43706,BUMIPUTERA SABAH (60% AND ABOVE),3519,4669,0.393,26.8
P.  180,SABAH,P. 180,KENINGAU,GSABAH - STAR,51177,BUMIPUTERA SABAH (60% AND ABOVE),4150,5550,0.38,14.7
P.  181,SABAH,P. 181,TENOM,PH - DAP,29182,BUMIPUTERA SABAH (60% AND ABOVE),3525,4734,0.347,17.2
P.  182,SABAH,P. 182,PENSIANGAN,BN - PBRS,31377,BUMIPUTERA SABAH (60% AND ABOVE),3636,4359,0.302,31.1
P.  183,SABAH,P. 183,BELURAN,BN - UMNO,28509,BUMIPUTERA SABAH (60% AND ABOVE),2848,4169,0.407,43.3
P.  184,SABAH,P. 184,LIBARAN,BN - UMNO,47914,MIXED,4704,5616,0.363,20.2
P.  185,SABAH,P. 185,BATU SAPI,WARISAN,32574,MIXED,5017,6426,0.387,13.7
P.  186,SABAH,P. 186,SANDAKAN,PH - DAP,39777,CHINESE MAJORITY (50 - 59.99%),5191,6963,0.416,16.8
P.  187,SABAH,P. 187,KINABATANGAN,BN - UMNO,28730,BUMIPUTERA SABAH (60% AND ABOVE),2973,4310,0.408,41.7
P.  188,SABAH,P. 188,SILAM,WARISAN,60942,BUMIPUTERA SABAH (50 - 59.99%),4075,5644,0.373,19.9
P.  189,SABAH,P. 189,SEMPORNA,WARISAN,48248,BUMIPUTERA SABAH (60% AND ABOVE),3542,5933,0.474,31.5
P.  190,SABAH,P. 190,TAWAU,PH - PKR,59919,MIXED,4494,6202,0.388,13.5
P.  191,SABAH,P. 191,KALABAKAN,WARISAN,52199,MIXED,4265,6222,0.385,14.8
P.  192,SARAWAK,P. 192,MAS GADING,PH - DAP,29617,BUMIPUTERA SARAWAK (60% AND ABOVE),3843,4857,0.342,9.5
P.  193,SARAWAK,P. 193,SANTUBONG,BN - PBB,45628,MALAY MAJORITY (60 % AND ABOVE),4801,5784,0.345,11.7
P.  194,SARAWAK,P. 194,PETRA JAYA,BN - PBB,57925,MALAY MAJORITY (60 % AND ABOVE),6336,7665,0.363,6.1
